"electricity generation sources in Kenya",Value,Year,Units
"Oil",2124,2000, GWh
"Oil",1508,2001, GWh
"Oil",1022,2002, GWh
"Oil",920,2003, GWh
"Oil",1038,2004, GWh
"Oil",1506,2005, GWh
"Oil",1819,2006, GWh
"Oil",1736,2007, GWh
"Oil",2145,2008, GWh
"Oil",2997,2009, GWh
"Oil",2586,2010, GWh
"Oil",2801,2011, GWh
"Oil",2200,2012, GWh
"Oil",2162,2013, GWh
"Oil",2585,2014, GWh
"Oil",1412,2015, GWh
"Oil",1470,2016, GWh
"Oil",2534,2017, GWh
"Oil",1545,2018, GWh
"Oil",1313,2019, GWh
"Oil",754,2020, GWh
"Oil",1262,2021, GWh
"Oil",1584,2022, GWh
"Oil",1305,2023, GWh
"Oil",1129,2024, GWh
"Hydropower",1325,2000, GWh
"Hydropower",2403,2001, GWh
"Hydropower",3119,2002, GWh
"Hydropower",3433,2003, GWh
"Hydropower",3169,2004, GWh
"Hydropower",3039,2005, GWh
"Hydropower",3025,2006, GWh
"Hydropower",3592,2007, GWh
"Hydropower",3267,2008, GWh
"Hydropower",2160,2009, GWh
"Hydropower",3224,2010, GWh
"Hydropower",3183,2011, GWh
"Hydropower",3977,2012, GWh
"Hydropower",4386,2013, GWh
"Hydropower",3411,2014, GWh
"Hydropower",3464,2015, GWh
"Hydropower",3960,2016, GWh
"Hydropower",2776,2017, GWh
"Hydropower",3986,2018, GWh
"Hydropower",3205,2019, GWh
"Hydropower",4232,2020, GWh
"Hydropower",3675,2021, GWh
"Hydropower",3039,2022, GWh
"Hydropower",2666,2023, GWh
"Hydropower",3630,2024, GWh
"Biofuels",133,2000, GWh
"Biofuels",115,2001, GWh
"Biofuels",145,2002, GWh
"Biofuels",135,2003, GWh
"Biofuels",150,2004, GWh
"Biofuels",163,2005, GWh
"Biofuels",162,2006, GWh
"Biofuels",176,2007, GWh
"Biofuels",168,2008, GWh
"Biofuels",279,2009, GWh
"Biofuels",270,2010, GWh
"Biofuels",270,2011, GWh
"Biofuels",258,2012, GWh
"Biofuels",271,2013, GWh
"Biofuels",220,2014, GWh
"Biofuels",230,2015, GWh
"Biofuels",229,2016, GWh
"Biofuels",156,2017, GWh
"Biofuels",169,2018, GWh
"Biofuels",148,2019, GWh
"Biofuels",218,2020, GWh
"Biofuels",250,2021, GWh
"Biofuels",264,2022, GWh
"Biofuels",199,2023, GWh
"Biofuels",269,2024, GWh
"Wind",,2000, GWh
"Wind",,2001, GWh
"Wind",,2002, GWh
"Wind",,2003, GWh
"Wind",,2004, GWh
"Wind",,2005, GWh
"Wind",,2006, GWh
"Wind",,2007, GWh
"Wind",,2008, GWh
"Wind",7,2009, GWh
"Wind",17,2010, GWh
"Wind",18,2011, GWh
"Wind",14,2012, GWh
"Wind",15,2013, GWh
"Wind",17,2014, GWh
"Wind",60,2015, GWh
"Wind",56,2016, GWh
"Wind",61,2017, GWh
"Wind",374,2018, GWh
"Wind",1562,2019, GWh
"Wind",1331,2020, GWh
"Wind",1984,2021, GWh
"Wind",2143,2022, GWh
"Wind",2008,2023, GWh
"Wind",1797,2024, GWh
"Solar PV",,2000, GWh
"Solar PV",,2001, GWh
"Solar PV",,2002, GWh
"Solar PV",,2003, GWh
"Solar PV",,2004, GWh
"Solar PV",,2005, GWh
"Solar PV",,2006, GWh
"Solar PV",,2007, GWh
"Solar PV",,2008, GWh
"Solar PV",,2009, GWh
"Solar PV",3,2010, GWh
"Solar PV",6,2011, GWh
"Solar PV",12,2012, GWh
"Solar PV",27,2013, GWh
"Solar PV",49,2014, GWh
"Solar PV",50,2015, GWh
"Solar PV",60,2016, GWh
"Solar PV",73,2017, GWh
"Solar PV",89,2018, GWh
"Solar PV",92,2019, GWh
"Solar PV",88,2020, GWh
"Solar PV",167,2021, GWh
"Solar PV",383,2022, GWh
"Solar PV",491,2023, GWh
"Solar PV",460,2024, GWh
"Geothermal",429,2000, GWh
"Geothermal",480,2001, GWh
"Geothermal",386,2002, GWh
"Geothermal",498,2003, GWh
"Geothermal",987,2004, GWh
"Geothermal",1002,2005, GWh
"Geothermal",1046,2006, GWh
"Geothermal",989,2007, GWh
"Geothermal",1039,2008, GWh
"Geothermal",1293,2009, GWh
"Geothermal",1057,2010, GWh
"Geothermal",1444,2011, GWh
"Geothermal",1516,2012, GWh
"Geothermal",1781,2013, GWh
"Geothermal",2917,2014, GWh
"Geothermal",4521,2015, GWh
"Geothermal",4484,2016, GWh
"Geothermal",4756,2017, GWh
"Geothermal",5127,2018, GWh
"Geothermal",5234,2019, GWh
"Geothermal",5059,2020, GWh
"Geothermal",5037,2021, GWh
"Geothermal",5517,2022, GWh
"Geothermal",6032,2023, GWh
"Geothermal",5551,2024, GWh
